,bid,methodId,ep,np,ef,nf,label
3444,2,org.joda.time.format.ISOPeriodFormat$alternateWithWeeks<>,4.144831447074928e+19,9.829713006010378e+20,4.837718973811042e+17,5.636733644496639e+18,False
3445,2,org.joda.time.LocalDateTime$<init><IIIIIIILorg/joda/time/Chronology;>,2080037706251.0,42596362803529.0,24594684423.0,242329291737.0,False
3446,2,org.joda.time.TimeOfDay$minus<Lorg/joda/time/ReadablePeriod;>,4.1537073152486566e+17,8.506556857404613e+18,4911403914346297.0,4.839361528762222e+16,False
3447,2,org.joda.time.base.AbstractDuration$isShorterThan<Lorg/joda/time/ReadableDuration;>,7.0,16061.0,0.0,96.0,False
3448,2,org.joda.time.format.DateTimeFormatterBuilder$Composite$printTo<Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;>,417.0,3600.0,17.0,7.0,False
3449,2,org.joda.time.convert.CalendarConverter$getInstantMillis<Ljava/lang/Object;Lorg/joda/time/Chronology;>,5.0,4012.0,0.0,24.0,False
3450,2,org.joda.time.format.DateTimeFormat$1$removeEldestEntry<Ljava/util/Map$Entry;>,270.0,3747.0,12.0,12.0,False
3451,2,org.joda.time.chrono.AssembledChronology$Fields$copyFieldsFrom<Lorg/joda/time/Chronology;>,137767946682538.0,1638038251335548.0,1317624843530.0,9292120925062.0,False
3452,2,org.joda.time.format.DateTimeFormatterBuilder$Composite$isPrinter<>,94021615.0,764314877.0,695483.0,4432741.0,False
3453,2,org.joda.time.LocalDateTime$Property$getChronology<>,202.0,7832.0,0.0,48.0,False
3454,2,org.joda.time.chrono.BasicFixedMonthChronology$getAverageMillisPerMonth<>,1090.0,2927.0,1.0,23.0,False
3455,2,org.joda.time.DateTime$withSecondOfMinute<I>,9417683597887.0,192852284302061.0,111356241861.0,1097127509595.0,False
3456,2,org.joda.time.DateTime$Property$setCopy<Ljava/lang/String;>,87847313.0,1798825111.0,1038720.0,10233408.0,False
3457,2,org.joda.time.Duration$minus<J>,849.0,187950.0,17.0,1111.0,False
3458,2,org.joda.time.field.AbstractPartialFieldProperty$getMaximumShortTextLength<Ljava/util/Locale;>,13.0,4004.0,0.0,24.0,False
3459,2,org.joda.time.base.AbstractInterval$isAfter<Lorg/joda/time/ReadableInterval;>,1.2006221021778868e+16,2.4587667301999523e+17,141963337769919.0,1398785842464729.0,False
3460,2,org.joda.time.MutablePeriod$addHours<I>,2104713.0,42805347.0,24781.0,243539.0,False
3461,2,org.joda.time.convert.ConverterManager$getPartialConverter<Ljava/lang/Object;>,3.250574082194664e+17,6.656885033355815e+18,3843526998484091.0,3.787084158448998e+16,False
3462,2,org.joda.time.field.RemainderDateTimeField$<init><Lorg/joda/time/field/DividedDateTimeField;>,3227960901297376.0,2206349599030385.0,21354242880672.0,11113631654520.0,False
3463,2,org.joda.time.MutableDateTime$<init><Lorg/joda/time/DateTimeZone;>,21.0,28098.0,0.0,168.0,False
3464,2,org.joda.time.DateTimeZone$getDefaultNameProvider<>,7548.0,8520.0,66.0,30.0,False
3465,2,org.joda.time.chrono.GJEraDateTimeField$get<J>,1.0326427903996925e+21,2.7736844686760976e+23,1.0072445007345566e+17,1.6632366297426638e+21,False
