,bid,methodId,ep,np,ef,nf,label
0,1,org.joda.time.Minutes$toStandardDuration<>,66873.0,18041763.0,17.0,108175.0,False
1,1,org.joda.time.TimeOfDay$minus<Lorg/joda/time/ReadablePeriod;>,1.6561640438903608e+18,3.391944763364698e+19,1.948383573227966e+16,1.9306649542552378e+17,False
2,1,org.joda.time.base.AbstractDuration$isShorterThan<Lorg/joda/time/ReadableDuration;>,7.0,16061.0,0.0,96.0,False
3,1,org.joda.time.format.DateTimeFormatterBuilder$Composite$printTo<Ljava/lang/StringBuffer;JLorg/joda/time/Chronology;ILorg/joda/time/DateTimeZone;Ljava/util/Locale;>,417.0,3600.0,17.0,7.0,False
4,1,org.joda.time.convert.CalendarConverter$getInstantMillis<Ljava/lang/Object;Lorg/joda/time/Chronology;>,5.0,4012.0,0.0,24.0,False
5,1,org.joda.time.format.DateTimeFormat$1$removeEldestEntry<Ljava/util/Map$Entry;>,270.0,3747.0,12.0,12.0,False
6,1,org.joda.time.chrono.AssembledChronology$Fields$copyFieldsFrom<Lorg/joda/time/Chronology;>,137763152830041.0,1638043045188045.0,1312824077789.0,9296921690803.0,False
7,1,org.joda.time.format.DateTimeFormatterBuilder$Composite$isPrinter<>,94021525.0,764314967.0,668843.0,4459381.0,False
8,1,org.joda.time.format.ISOPeriodFormat$alternateWithWeeks<>,4.144587196900738e+19,9.829737431027795e+20,4.8129533893255936e+17,5.639210202945184e+18,False
9,1,org.joda.time.LocalDateTime$Property$getChronology<>,202.0,7832.0,0.0,48.0,False
10,1,org.joda.time.MutableDateTime$addWeekyears<I>,170158986868123.0,3484797748344140.0,2001828183653.0,19835105260483.0,False
11,1,org.joda.time.LocalDateTime$<init><IIIIIIILorg/joda/time/Chronology;>,2079912179375.0,42596488330405.0,24469025553.0,242454950607.0,False
12,1,org.joda.time.DateTime$withSecondOfMinute<I>,9417114809202.0,192852853090746.0,110787388991.0,1097696362465.0,False
13,1,org.joda.time.Duration$minus<J>,849.0,187950.0,17.0,1111.0,False
14,1,org.joda.time.field.AbstractPartialFieldProperty$getMaximumShortTextLength<Ljava/util/Locale;>,13.0,4004.0,0.0,24.0,False
15,1,org.joda.time.base.AbstractInterval$isAfter<Lorg/joda/time/ReadableInterval;>,1.2005496732103972e+16,2.4587739730967018e+17,141237969643793.0,1399511210590855.0,False
16,1,org.joda.time.MutablePeriod$addHours<I>,2104587.0,42805473.0,24655.0,243665.0,False
17,1,org.joda.time.convert.ConverterManager$getPartialConverter<Ljava/lang/Object;>,3.250377987374151e+17,6.656904642837866e+18,3823888323398314.0,3.789048025957576e+16,False
18,1,org.joda.time.field.RemainderDateTimeField$<init><Lorg/joda/time/field/DividedDateTimeField;>,3227956107444961.0,2206354392882800.0,21349442114859.0,11118432420333.0,False
